Rank,Player,Team,POS,Mixed Value
1,Bryce Harper ,WAS,RF,$50.18
2,Mike Trout ,LAA,CF,$49.30
3,Jose Altuve ,HOU,2B,$49.18
4,Clayton Kershaw ,LAD,SP,$42.00
5,Starling Marte ,PIT,LF,$41.75
6,Manny Machado ,BAL,SS,$40.90
7,Paul Goldschmidt ,ARI,1B,$37.30
8,Nolan Arenado ,COL,3B,$37.14
9,Giancarlo Stanton ,MIA,RF,$36.40
10,Anthony Rizzo ,CHC,1B,$36.09
11,Carlos Correa ,HOU,SS,$34.16
12,Ryan Braun ,MIL,LF,$33.68
13,Jake Arrieta ,CHC,SP,$31.03
14,Josh Donaldson ,TOR,3B,$30.32
15,Chris Sale ,CWS,SP,$30.16
16,Mookie Betts ,BOS,RF,$29.80
17,Andrew McCutchen,PIT,CF,$29.56
18,David Ortiz ,BOS,DH,$28.31
19,Miguel Cabrera ,DET,1B,$27.82
20,Buster Posey ,SF,C,$27.53
21,Yoenis Cespedes ,NYM,CF,$27.25
22,Chris Davis ,BAL,1B,$27.09
23,Kris Bryant ,CHC,LF,$26.86
24,J.D. Martinez,DET,RF,$25.93
25,Max Scherzer ,WAS,SP,$25.70
26,George Springer ,HOU,RF,$25.70
27,Lorenzo Cain ,KAN,CF,$25.29
28,Corey Kluber ,CLE,SP,$24.83
29,David Price ,BOS,SP,$24.77
30,Byung-ho Park,MIN,DH,$24.75
31,Carlos Gonzalez ,COL,RF,$23.94
32,Nelson Cruz ,SEA,DH,$23.83
33,Todd Frazier ,CWS,3B,$22.99
34,Edwin Encarnacion ,TOR,DH,$21.94
35,Jacob deGrom,NYM,SP,$21.67
36,Michael Brantley ,CLE,LF,$21.64
37,Madison Bumgarner ,SF,SP,$21.02
